Epoch 0 :(mp, mr, map50, map ,*Loss )  0.0004049     0.03363   0.0002313   3.847e-05           0           0           0 
Epoch 1 :(mp, mr, map50, map ,*Loss )   0.001187    0.005598   0.0004062   8.864e-05           0           0           0 
Epoch 2 :(mp, mr, map50, map ,*Loss )    0.00272    0.007423   0.0006965   0.0001377           0           0           0 
Epoch 3 :(mp, mr, map50, map ,*Loss )     0.1987     0.01063    0.004045   0.0006367           0           0           0 
Epoch 4 :(mp, mr, map50, map ,*Loss )     0.1925      0.1141     0.00498    0.001186           0           0           0 
Epoch 5 :(mp, mr, map50, map ,*Loss )   0.007271       0.196    0.004316   0.0009373           0           0           0 
Epoch 6 :(mp, mr, map50, map ,*Loss )    0.01703      0.3666     0.01435    0.003522           0           0           0 
Epoch 7 :(mp, mr, map50, map ,*Loss )     0.1232       0.188     0.03448     0.01149           0           0           0 
Epoch 8 :(mp, mr, map50, map ,*Loss )      0.288      0.1266     0.06824     0.02198           0           0           0 
Epoch 9 :(mp, mr, map50, map ,*Loss )     0.2574      0.1916      0.1072     0.03894           0           0           0 
Epoch 10 :(mp, mr, map50, map ,*Loss )     0.1274      0.2408      0.1057     0.03793           0           0           0 
Epoch 11 :(mp, mr, map50, map ,*Loss )     0.3627      0.1744       0.137     0.04991           0           0           0 
Epoch 12 :(mp, mr, map50, map ,*Loss )     0.2116      0.3047      0.1968     0.07431           0           0           0 
Epoch 13 :(mp, mr, map50, map ,*Loss )     0.2407      0.3023      0.2068      0.0861           0           0           0 
Epoch 14 :(mp, mr, map50, map ,*Loss )     0.2839      0.2512      0.2169     0.09217           0           0           0 
Epoch 15 :(mp, mr, map50, map ,*Loss )     0.3896      0.2747      0.2391     0.09731           0           0           0 
Epoch 16 :(mp, mr, map50, map ,*Loss )     0.3406      0.3211      0.2743      0.1108           0           0           0 
Epoch 17 :(mp, mr, map50, map ,*Loss )      0.369      0.3092       0.256      0.1145           0           0           0 
Epoch 18 :(mp, mr, map50, map ,*Loss )     0.4099      0.3538      0.3136      0.1288           0           0           0 
Epoch 19 :(mp, mr, map50, map ,*Loss )     0.4963      0.3007      0.3138      0.1363           0           0           0 
Epoch 20 :(mp, mr, map50, map ,*Loss )     0.4456      0.2974       0.288      0.1154           0           0           0 
Epoch 21 :(mp, mr, map50, map ,*Loss )     0.3366      0.4013      0.3422      0.1601           0           0           0 
Epoch 22 :(mp, mr, map50, map ,*Loss )     0.4581      0.3674      0.3435      0.1654           0           0           0 
Epoch 23 :(mp, mr, map50, map ,*Loss )     0.5832      0.3207      0.3725      0.1689           0           0           0 
Epoch 24 :(mp, mr, map50, map ,*Loss )     0.5056      0.3869      0.4148       0.197           0           0           0 
Epoch 25 :(mp, mr, map50, map ,*Loss )     0.4595      0.4175      0.3835      0.1825           0           0           0 
Epoch 26 :(mp, mr, map50, map ,*Loss )     0.4701      0.4216      0.4187      0.1955           0           0           0 
Epoch 27 :(mp, mr, map50, map ,*Loss )     0.6173      0.4289      0.4519      0.2175           0           0           0 
Epoch 28 :(mp, mr, map50, map ,*Loss )     0.4637      0.4216      0.4078      0.1936           0           0           0 
Epoch 29 :(mp, mr, map50, map ,*Loss )     0.5502      0.4027      0.4493      0.2228           0           0           0 
Epoch 30 :(mp, mr, map50, map ,*Loss )     0.4794      0.4172      0.3938      0.1949           0           0           0 
Epoch 31 :(mp, mr, map50, map ,*Loss )     0.5797      0.4392      0.4533      0.2259           0           0           0 
Epoch 32 :(mp, mr, map50, map ,*Loss )     0.5364      0.3992      0.4438      0.2137           0           0           0 
Epoch 33 :(mp, mr, map50, map ,*Loss )     0.6018      0.4242       0.453      0.2268           0           0           0 
Epoch 34 :(mp, mr, map50, map ,*Loss )     0.5253       0.483      0.4625      0.2284           0           0           0 
Epoch 35 :(mp, mr, map50, map ,*Loss )     0.5051      0.4737      0.4707      0.2423           0           0           0 
Epoch 36 :(mp, mr, map50, map ,*Loss )     0.5042       0.475      0.4708      0.2311           0           0           0 
Epoch 37 :(mp, mr, map50, map ,*Loss )      0.644      0.4457      0.5031       0.255           0           0           0 
Epoch 38 :(mp, mr, map50, map ,*Loss )     0.5863      0.4919      0.5146      0.2684           0           0           0 
Epoch 39 :(mp, mr, map50, map ,*Loss )     0.5987      0.4509      0.4792      0.2451           0           0           0 
Epoch 40 :(mp, mr, map50, map ,*Loss )     0.6354      0.4675      0.5156      0.2679           0           0           0 
Epoch 41 :(mp, mr, map50, map ,*Loss )     0.5345      0.4856      0.4784      0.2425           0           0           0 
Epoch 42 :(mp, mr, map50, map ,*Loss )     0.5757      0.4896      0.5133      0.2707           0           0           0 
Epoch 43 :(mp, mr, map50, map ,*Loss )     0.6055      0.4826      0.5167      0.2688           0           0           0 
Epoch 44 :(mp, mr, map50, map ,*Loss )     0.5545      0.5008      0.5266       0.269           0           0           0 
Epoch 45 :(mp, mr, map50, map ,*Loss )     0.5776      0.5175      0.5357      0.2793           0           0           0 
Epoch 46 :(mp, mr, map50, map ,*Loss )     0.6088       0.533      0.5392      0.2754           0           0           0 
Epoch 47 :(mp, mr, map50, map ,*Loss )     0.6305      0.5006      0.5175       0.273           0           0           0 
Epoch 48 :(mp, mr, map50, map ,*Loss )     0.6506      0.4781      0.5371      0.2824           0           0           0 
Epoch 49 :(mp, mr, map50, map ,*Loss )     0.6919      0.4814      0.5452      0.2909           0           0           0 
Epoch 50 :(mp, mr, map50, map ,*Loss )     0.6238      0.5263      0.5474      0.2986           0           0           0 
Epoch 51 :(mp, mr, map50, map ,*Loss )     0.6478      0.5202      0.5573      0.2886           0           0           0 
Epoch 52 :(mp, mr, map50, map ,*Loss )     0.6943       0.474      0.5542      0.2961           0           0           0 
Epoch 53 :(mp, mr, map50, map ,*Loss )     0.5952      0.4802      0.5218      0.2707           0           0           0 
